seen_date,state,city,shape,summary,duration,posted_date
2015-07-29T21:00:00,NY,Castleton,triangle,"Triangle shape with bright (red, orange, white).",20,2015-07-31T00:00:00
2015-07-29T21:00:00,RI,Bristol,sphere,Three purple/red objects with strobe traveling SE to ENE.,30 seconds,2015-07-31T00:00:00
2017-04-29T20:10:00,FL,Coconut Creek,light,"Very white, bright circular light, perfectly still.  Approximately 40-50 feet in the air.  Lasted 45 minutes and suddenly vanished.",45 minutes,2017-05-06T00:00:00
2000-09-12T14:30:00,CA,Walnut,sphere,I went out at 2:30 PM in the afternoon. I through out the trush I look it the sky in the Northwest it fly and stop in about three then,10 Mniutes,2000-09-17T00:00:00
2015-07-29T21:48:00,OH,Grove City,sphere,Red pulsing orb moving silently across the sky.,5 minutes,2015-07-31T00:00:00
2015-07-29T22:00:00,CA,Salton City,circle,Bright yellow circle lights.,5 minutes,2015-07-31T00:00:00
2015-07-29T22:00:00,SC,Columbia,disk,"Saucer shape with red, yellow, green lights like lights on a ferris wheel at the stat fair.  ((NUFORC Note:  ""Twinkling"" star?  PD))",2 hours,2015-07-31T00:00:00
2015-07-29T22:30:00,MA,Chelsea,oval,"Bright, oval shape at very high speed zoomed through the sky.  I found a report from Leicester, MA on 6/26 and it was exactly the same.",Seconds,2015-07-31T00:00:00
2015-08-02T02:00:00,NJ,Long Beach Island,unknown,"Unidentified object was sighted over North Beach, LBI.",10 minutes,2015-08-06T00:00:00
2015-07-29T22:45:00,AB,Edmonton,light,"Witnessing three light objects above Edmonton, Alberta, Canada at 10:45 pm July 29, 2015.",2 minutes,2015-07-31T00:00:00
2015-08-02T07:55:00,TN,Jefferson City,cylinder,Tubular silent unknown above flying SE.,Seconds,2015-08-06T00:00:00
2015-08-02T09:45:00,GA,Warner Robins,fireball,"Wife and I saw an glowing orange orb fly overhead, and then disappear to the west.....",50 seconds,2015-08-06T00:00:00
2015-08-02T14:00:00,MA,Boston,unknown,"While at the beach with my family I noticed 4 military helicopter flying low, across Boston.  This is unusual so I took a picture.",3 minutes,2015-08-06T00:00:00
2015-08-02T18:40:00,RI,Warwick,sphere,"Bright reddish/orange self-illuminated sphere rising up from Warwick Pond in Warwick, Rhode Island.",10 seconds,2015-08-06T00:00:00
2000-09-12T19:30:00,TX,San Antonio,other,"This object moved across the sky leaving no smoke trail, vabor trail, no sound or never changed direction, sighted for 20 min.",15 Min.- 20 Min.,2000-09-17T00:00:00
2015-08-02T19:00:00,NV,Las Vegas,sphere,Spheres.,5 minutes,2015-08-06T00:00:00
2015-08-02T20:15:00,MA,Sandwich,fireball,The first sighting was two bright orange/red balls going thru the sky with no sound.,15 minutes,2015-08-06T00:00:00
2015-08-02T22:00:00,LA,New Orleans,circle,Two circular lights shoot across the might sky.,10 minutes,2015-08-06T00:00:00
2015-08-02T22:40:00,OH,Reynoldsburg,sphere,"Sphere, high in sky, west to east.  Very high speed, stopped on a dime, elevated, lowered and continued.",4 minutes,2015-08-06T00:00:00
2015-08-02T23:00:00,MT,Bozeman,sphere,Orange sphere below waning moon south of bozeman,15 minutes,2015-08-06T00:00:00
2015-08-02T23:21:00,VA,Virginia Beach,unknown,"Large, bright blue & red lights over Virginia Beach.",10 minutes,2015-08-06T00:00:00
2015-08-03T00:30:00,WV,Rupert,unknown,UFO with orange light in a hurry to get somewhere.,Seconds,2015-08-06T00:00:00
2015-07-30T00:30:00,NC,Southern Pines,fireball,Very large green fireball moving through the sky.   ((NUFORC Note:  Possible meteor?  PD)),Few seconds,2015-07-31T00:00:00
2015-07-30T01:30:00,MT,Browning,sphere,Bright light rapidly changing direction in the night sky.,1 minute,2015-07-31T00:00:00
2015-07-30T12:15:00,MT,Billings,circle,A reddish circle moving slowly across the sky from the west to the east.  Got smaller and smaller and disappeared.,10 minutes,2015-07-31T00:00:00
2000-09-13T05:55:00,VA,Leesburg,rectangle,Highly illuminated rectangular shaped object tilted at a 20-30 degree angle in the early AM hours.,1 minute,2000-09-17T00:00:00
2015-07-30T03:00:00,MD,Berlin,light,"The a/c was just above the tree line, going at a fast rate.  It was flashing red and white lights.  It was heading north towards Dover.",2 minutes,2015-07-31T00:00:00
2015-07-30T13:30:00,OR,Troutdale,disk,"Long, flat whitish silver object between Clackamas and Troutdale, Oregon.",10 minutes,2015-07-31T00:00:00
2015-07-30T21:00:00,IL,Bloomington,changing,Traveling north on Route 29 outside Bloomington when in the sky was some type of craft that kept changing positions.,30 minutes,2015-07-31T00:00:00
2015-07-30T21:40:00,KY,Louisa,circle,Circle shaped white light moved fast (no streaks of light/no sound) then disappeared.,1-2 seconds,2015-07-31T00:00:00
2015-07-30T21:50:00,NE,Lincoln,light,"Red, green, and yellow flashing lights moving in ninety degree angles.",15 minutes,2015-07-31T00:00:00
2015-07-30T23:00:00,SC,Georgetown,flash,2-3 Bright fireball lights in sky which fade slowly on and off.,5 minutes,2015-07-31T00:00:00
2015-07-30T23:32:00,AR,Fayetteville,triangle,"A hovering triangular craft, 2 red lights (one blinking) and 1 white light.",still there,2015-07-31T00:00:00
2015-07-31T01:30:00,CT,Hartford,disk,"3 lights, blue, green, and white appeared around the location of where they are building the new baseball stadium.",6 seconds,2015-07-31T00:00:00
2015-07-31T01:44:00,VA,Virginia Beach,light,Lights in sky with 3 globe looking lights.,30 minutes,2015-07-31T00:00:00
2015-08-03T02:00:00,OR,Florence,circle,Orange circular object moving fast.,1-2 minutes,2015-08-06T00:00:00
2000-09-13T13:00:00,OH,Toledo,sphere,"sphere, traveling north, 8-10,000 ft, silver white, no sound, changing direction slightly, speed of 180 mph, plane's in the area.",10 min.,2000-09-17T00:00:00
2015-08-03T03:45:00,VA,Richmond,fireball,"Large, silent blue meteor like object fly over James River and quickly disappear.",30 seconds,2015-08-06T00:00:00
2015-08-03T03:59:00,VA,Fairfax,flash,Brilliant flash of light illuminating my entire line of sight for 2 seconds approximately.,2 seconds,2015-08-06T00:00:00
2015-08-03T04:00:00,PA,Cranberry twp,fireball,"Giant green ball of fire fell from sky in 7 Cranberry, PA, last night at 4 am.",10 seconds,2015-08-06T00:00:00
2015-08-03T08:00:00,GA,Atlanta,oval,"I saw a bright dot in the western sky, two attached circles white and silver visible only with binoculars.",10 minutes,2015-08-06T00:00:00
2015-08-03T13:00:00,NV,Las Vegas,formation,"Sitting at pool at Mirage about 8 bright dots in formation they breaking formation. Very very fast motion up down, back and forth.",5-8 minutes,2015-08-06T00:00:00
2015-08-03T13:45:00,MN,Minneapolis,light,Three balls of light seen moving east over industrial area of NE Minneapolis-St. Paul.,2 minutes,2015-08-06T00:00:00
2015-08-03T17:45:00,OK,Tulsa,unknown,"Sun was shining on hovering, still, silver object in western Tulsa sky, about 15 seconds before it vanished.",15 seconds,2015-08-06T00:00:00
2015-08-03T20:00:00,CA,San Diego,oval,Green glowing oval ufo followed by helicopter.,1 minutes,2015-08-06T00:00:00
2015-08-03T21:00:00,NJ,Phillipsburg,triangle,We went out for a drive after eating dinner and came across some triangle aircraft with bright lights hovering above a cemetery.,3 minutes,2015-08-06T00:00:00
2015-08-03T21:00:00,KS,Wilson Lake,light,Amber uniform spaced lights.,1-2 minutes,2015-08-06T00:00:00
2000-09-13T17:00:00,WA,Everett,formation,3 points of light forming a triangle,10 minutes,2000-09-17T00:00:00
2015-07-31T04:20:00,OH,Medina,sphere,"Silent, bright sphere, passes over city of Medina.",6 seconds,2015-07-31T00:00:00
2015-08-03T21:00:00,IL,Jonesboro,fireball,Fireball.,,2015-08-06T00:00:00
2015-08-03T21:30:00,KS,Ellsworth,formation,Witnessed a moving formation of lights in night sky.,1 minutes,2015-08-06T00:00:00
2015-08-03T21:45:00,IA,West Point,circle,"Round/circular orange object, north to south.",1.5 minutes,2015-08-06T00:00:00
2015-08-03T21:50:00,IL,Mount Morris,fireball,4 orange glowing objects sighted flying in single formation.,5 minutes,2015-08-06T00:00:00
2015-08-03T22:11:00,CA,Buena Park,light,While driving eastbound on 91 freeway 3 lights 1 bright white 2 other multi color at same level in Eastern skyline a 4th appeared white,22:14,2015-08-06T00:00:00
2015-08-03T22:15:00,OR,Gearhart,light,"I was outside about 10:15pm and was watching the skies.  I noticed a bright ""light"" (about 4 times brighter than the brightest star).",4 minutes,2015-08-06T00:00:00
2015-08-03T22:25:00,TN,Moss,fireball,Bluish green fireball.,2 seconds,2015-08-06T00:00:00
2015-08-03T23:00:00,IL,Morton grove,fireball,I was on my roof and noticed an orange/firey ball circling around in the sky. It appeared as a Chinese lantern but it wasn't one.,10 minutes,2015-08-06T00:00:00
2015-08-03T23:11:00,VT,Lincoln,oval,"3 large, fast and bright turquoise ovals circling each other, 15min, 2 witnesses. Lincoln, VT.",10 minutes,2015-08-06T00:00:00
2000-09-13T19:00:00,MD,Hagerstown to Sidling hill cut,light,"weird no aircraft in sky around airport, car shut off when above us, terrible migraine later that night. BRIGHTTT",15min.,2000-09-17T00:00:00
2015-08-04T02:00:00,AB,Edmonton,other,"I saw this strange, what looked like a shaft with four wings coming off it sitting in the sky.  ((NUFORC Note:  Insect in flight.  PD))",30 seconds,2015-08-06T00:00:00
2015-08-04T02:30:00,FL,Lake Worth,fireball,Red flashing orb moving very slow.,10 minutes,2015-08-06T00:00:00
2015-08-04T04:30:00,TN,Mt. Juliet,circle,Very large bright round object in sky over Mt. Juliet.,10 minutes,2015-08-06T00:00:00
2015-08-04T12:20:00,AK,Wasilla,light,"White and some orange orbs in mountain valley and sky, Wasilla Alaska.",45 minutes +,2015-08-06T00:00:00
2015-08-04T16:00:00,NM,Rio Rancho,other,Flash of white like a fireball and caused other lights to flash.,3 hours,2015-08-06T00:00:00
2015-08-04T21:30:00,UT,Tooele,light,"My 9 year old son was looking out of our kitchen window and asked me if I had seen the lights that had passed by the window, and I did",2-3 seconds,2015-08-06T00:00:00
2015-08-04T21:56:00,NJ,New Jersey,triangle,((HOAX??))  Riding on the highway from work towards Philadelphia for 2 mins I saw 3 red lights that formed a triangle.,2 minutes,2015-08-06T00:00:00
2015-08-04T22:00:00,DE,Rehoboth Beach,light,"Over the beach in Rehoboth, traveling south to north toward lightning that continued, centered over ocean.",30 minutes,2015-08-06T00:00:00
2015-08-04T22:30:00,WY,Torrington,sphere,It's back again in the last week by itself.,3 minutes,2015-08-06T00:00:00
2015-08-04T23:00:00,CA,Modesto,diamond,Saw a yellow orange circular object not too far up in the sky and it began to streak downward like a falling star or meteor.,5 minutes,2015-08-06T00:00:00
2000-09-13T20:10:00,MO,Sikeston,cigar,Cigar shaped Object in Sikeston,2 minutes,2000-09-17T00:00:00
